asv	Kingdom	Phylum	Class	Order	Family	Genus	Species
asv01746	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Sanguibacteraceae	Sanguibacter	uncultured_bacterium
asv01747	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1	Alphaproteobacteria_bacterium
asv01748	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	metagenome
asv01749	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	37-13	uncultured_Chitinophagaceae
asv01750	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia_wadei
asv01751	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured_Ferruginibacter
asv01752	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	unclassified
asv01753	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_morindae
asv01754	Bacteria	Elusimicrobiota	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium	Endomicrobium_proavitum
asv01755	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Azambacteria	Candidatus_Azambacteria	Candidatus_Azambacteria	unclassified
asv01756	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	uncultured_bacterium
asv01757	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Cnuella	unclassified
asv01758	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaeraceae	uncultured_bacterium
asv01759	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	uncultured_Defluviicoccus
asv01760	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	uncultured	uncultured_eubacterium
asv01761	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	Fokiniaceae	uncultured_Candidatus
asv01762	Bacteria	Actinobacteriota	MB-A2-108	MB-A2-108	MB-A2-108	MB-A2-108	unclassified
asv01763	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	unclassified
asv01764	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Terrisporobacter	unclassified
asv01765	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	unclassified	unclassified
asv01766	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_11	Clostridium_sp.
asv01767	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	bacterium_Ellin6517
asv01768	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	uncultured	uncultured_Firmicutes
asv01769	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Cystobacter	unclassified
asv01770	Archaea	Crenarchaeota	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	Bathyarchaeia	unclassified
asv01771	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella	unclassified
asv01772	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Agrococcus	unclassified
asv01773	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Chlamydiaceae	uncultured	uncultured_organism
asv01774	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Fokiniaceae	uncultured	uncultured_bacterium
asv01775	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	JGI_0001001-H03	unclassified
asv01776	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	unclassified
asv01777	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	UCG-010	uncultured_Lachnospiraceae
asv01778	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	Roseomonas_ludipueritiae
asv01779	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_lentus
asv01780	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	uncultured	uncultured_bacterium
asv01781	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	unclassified	unclassified	unclassified
asv01782	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_melliventris
asv01783	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_taiwanensis
asv01784	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	Candidatus_Phytoplasma	unclassified
asv01785	Bacteria	Myxococcota	Polyangia	mle1-27	mle1-27	mle1-27	uncultured_Sorangiineae
asv01786	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	SWB02	unclassified
asv01787	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	unclassified
asv01788	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	uncultured	unclassified
asv01789	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	unclassified	unclassified
asv01790	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	unclassified	unclassified	unclassified
asv01791	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella_oryzae
